site_no,station_nm,lat,long,datum,altitude,gh,gh_start,gh_end,sf,sf_start,sf_end,huc10,huc10_name,huc10_area
03384500,"OHIO RIVER AT DAM 51 AT GOLCONDA, IL",37.35783,-88.482544,NAD83,293.84,1,2014-10-02 08:45:00,2024-04-02 23:00:00,0,,,0514020307,Big Grand Pierre Creek-Ohio River,290.13
03399800,"OHIO RIVER AT SMITHLAND DAM, SMITHLAND, KY",37.15922,-88.42726,NAD83,289.09,1,2007-10-01 01:00:00,2024-04-03 00:00:00,1,2007-12-16 00:00:00,2024-04-03 00:00:00,0514020309,Barren Creek-Ohio River,332.16
03400500,"POOR FORK AT CUMBERLAND, KY",36.97398,-82.99294,NAD83,1409.72,1,2009-06-30 12:00:00,2024-04-03 01:00:00,1,2009-06-30 12:00:00,2024-04-03 01:00:00,0513010101,Poor Fork Cumberland River-Martins Fork Cumberland River,962.73
03400785,"MARTINS FORK ABOVE SMITH, KY",36.7262,-83.28796,NAD83,1351.19,1,2015-03-24 15:00:00,2024-04-03 01:00:00,1,2015-02-13 16:00:00,2024-04-03 01:00:00,0513010101,Poor Fork Cumberland River-Martins Fork Cumberland River,962.73
03400798,"MARTINS FORK LK AT MARTINS FK DAM NR SMITH, KY",36.749252,-83.25768,NAD83,1292.13,1,2017-07-15 12:00:00,2024-04-03 01:00:00,0,,,0513010101,Poor Fork Cumberland River-Martins Fork Cumberland River,962.73
03400800,"MARTINS FORK NEAR SMITH, KY",36.752308,-83.2574,NAD83,1258.47,1,2015-01-26 00:00:00,2024-04-03 01:00:00,1,2014-12-24 00:00:00,2024-04-03 01:00:00,0513010101,Poor Fork Cumberland River-Martins Fork Cumberland River,962.73
03400986,"MARTIN'S FORK NEAR HARLAN, KY",36.844532,-83.32352,NAD83,1099.27,1,2011-09-09 07:00:00,2024-04-03 01:00:00,1,2012-10-23 14:00:00,2024-04-03 01:00:00,0513010101,Poor Fork Cumberland River-Martins Fork Cumberland River,962.73
03401000,"CUMBERLAND RIVER NEAR HARLAN, KY",36.846756,-83.355736,NAD83,1138.58,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1986-06-06 00:00:00,2024-04-03 01:00:00,0513010102,Yellow Creek-Cumberland River,790.42
03401428,"BENNETTS FORK AT MIDDLESBORO, KY",36.60175,-83.75159,NAD83,,0,,,1,1987-10-01 00:15:00,1989-09-30 23:45:00,0513010102,Yellow Creek-Cumberland River,790.42
03401450,"STONY FORK NEAR MOUTH AT MIDDLESBORO, KY",36.61425,-83.75325,NAD83,,0,,,1,1987-10-01 00:15:00,1989-08-22 23:45:00,0513010102,Yellow Creek-Cumberland River,790.42
03402900,"CUMBERLAND R AT PINE ST BR AT PINEVILLE, KY",36.76314,-83.691864,NAD83,969.53,1,2013-09-19 08:00:00,2024-04-03 01:00:00,0,,,0513010103,Straight Creek-Cumberland River,964.85
03403500,"CUMBERLAND RIVER AT BARBOURVILLE, KY",36.86231,-83.88743,NAD83,942.49,1,2012-10-24 08:45:00,2024-04-03 01:00:00,1,1984-03-17 01:00:00,2005-09-30 23:30:00,0513010103,Straight Creek-Cumberland River,964.85
03403910,"CLEAR FORK AT SAXTON, KY",36.633972,-84.111595,NAD83,921.43,1,2010-06-30 06:30:00,2024-04-03 01:00:00,1,1975-02-09 00:00:00,2024-04-03 01:00:00,0513010106,Clear Fork,654.24
03404000,"CUMBERLAND RIVER AT WILLIAMSBURG, KY",36.743416,-84.156044,NAD83,891.02,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1973-03-15 01:00:00,2024-04-03 01:00:00,0513010107,Jellico Creek-Cumberland River,611.97
03404500,"CUMBERLAND RIVER AT CUMBERLAND FALLS, KY",36.837303,-84.34327,NAD83,824.71,1,2010-10-01 00:00:00,2024-04-03 01:00:00,1,2010-10-01 00:00:00,2024-04-03 01:00:00,0513010109,Marsh Creek-Cumberland River,538.09
03404820,"LAUREL RIVER AT MUNICIPAL DAM NEAR CORBIN, KY",36.970364,-84.11965,NAD83,999.57,1,2013-11-13 13:00:00,2024-04-03 01:00:00,0,,,0513010108,Laurel River,749.32
03404900,"LYNN CAMP CREEK AT CORBIN, KY",36.951477,-84.093544,NAD83,1048.48,1,2010-06-30 06:30:00,2024-04-03 01:00:00,1,1986-07-02 00:00:00,2024-04-03 01:00:00,0513010108,Laurel River,749.32
03406500,"ROCKCASTLE RIVER AT BILLOWS, KY",37.171196,-84.29604,NAD83,802.68,1,2008-10-01 00:00:00,2024-04-03 01:00:00,1,1987-10-01 00:00:00,2024-04-03 01:00:00,0513010205,Sinking Creek-Rockcastle River,468.37
03407500,"BUCK CREEK NEAR SHOPVILLE, KY",37.210636,-84.464386,NAD83,831.05,1,2012-07-17 14:00:00,2024-04-03 01:00:00,1,2012-07-17 14:00:00,2024-04-03 01:00:00,0513010301,Buck Creek,762.36
03410500,"SOUTH FORK CUMBERLAND RIVER NEAR STEARNS, KY",36.62702,-84.53327,NAD83,765.36,1,2009-06-30 12:00:00,2024-04-03 01:00:00,1,1984-03-31 01:00:00,2023-12-09 14:30:00,0513010405,Roaring Paunch Creek-Big South Fork Cumberland River,817.81
03410590,"ROCK CREEK NEAR YAMACRAW, KY",36.702778,-84.56306,NAD83,737.58,1,2015-08-04 09:45:00,2020-09-29 13:15:00,1,2015-08-04 10:00:00,2020-09-29 13:15:00,0513010405,Roaring Paunch Creek-Big South Fork Cumberland River,817.81
03410600,"SOUTH FORK CUMBERLAND RIVER NEAR YAMACRAW, KY",36.72563,-84.54383,NAD83,,0,,,1,2002-10-01 00:00:00,2004-09-30 23:00:00,0513010407,Sinking Creek-Big South Fork Cumberland River,471.63
03413200,"BEAVER CREEK NEAR MONTICELLO, KY",36.79757,-84.89606,NAD83,805.12,1,2007-10-01 01:00:00,2024-04-03 01:00:00,1,1989-10-02 01:00:00,2024-04-03 01:00:00,0513010305,Beaver Creek,612.44
03414000,"CUMBERLAND RIVER NEAR ROWENA, KY",36.883953,-85.139404,NAD83,540.08,1,2020-12-08 00:00:00,2024-04-03 00:00:00,0,,,0513010306,Crocus Creek-Cumberland River,836.08
03414078,"CROCUS CREEK NEAR AMANDAVILLE, KY",36.887028,-85.330284,NAD83,547.98,1,2018-04-20 11:00:00,2024-04-03 00:00:00,1,2018-04-20 13:30:00,2024-04-03 00:00:00,0513010306,Crocus Creek-Cumberland River,836.08
03414100,"CUMBERLAND RIVER AT BURKESVILLE, KY",36.786728,-85.36524,NAD83,499.61,1,2013-11-08 08:00:00,2024-04-03 00:00:00,1,2014-06-25 00:00:00,2024-04-03 00:00:00,0513010307,Marrowbone Creek-Cumberland River,979.59
03414170,"MARROWBONE CK AT MUD CAMP RD AT WATERVIEW, KY",36.81514,-85.45883,NAD83,546.91,1,2021-12-28 13:45:00,2024-04-03 00:00:00,0,,,0513010307,Marrowbone Creek-Cumberland River,979.59
03435105,"RED RIVER AT DOT, KY",36.67666,-86.95209,NAD83,457.67,1,2016-09-16 10:15:00,2024-04-03 00:00:00,1,2016-09-16 10:15:00,2024-04-03 00:00:00,0513020602,South Fork Red River-Red River,699.51
03437370,"N FK LITTLE R AT WATER PLANT AT HOPKINSVILLE, KY",36.876156,-87.471954,NAD83,510.0,1,2014-11-14 11:30:00,2024-04-03 00:00:00,0,,,0513020505,Upper Little River,696.48
03437480,"S FK LITTLE RIVER AT HWY 68/80 NR HOPKINSVILLE, KY",36.849766,-87.35223,NAD83,550.64,1,2009-10-01 01:00:00,2024-04-03 00:00:00,1,2009-10-01 01:00:00,2024-04-03 00:00:00,0513020505,Upper Little River,696.48
03437495,"S FK LITTLE R AT HWY 68 BY-PASS AT HOPKINSVILLE,KY",36.84949,-87.428894,NAD83,520.0,1,2009-10-01 01:00:00,2024-04-03 00:00:00,1,2009-10-01 01:00:00,2024-04-03 00:00:00,0513020505,Upper Little River,696.48
03437500,"SOUTH FORK LITTLE RIVER AT HOPKINSVILLE, KY",36.83949,-87.4814,NAD83,499.5,1,2012-10-01 01:00:00,2024-04-03 00:00:00,0,,,0513020505,Upper Little River,696.48
03610000,"CLARKS RIVER AT MURRAY, KY",36.592834,-88.30004,NAD83,459.73,1,2011-09-15 11:15:00,2024-04-03 00:00:00,1,2011-09-15 11:15:00,2024-04-03 00:00:00,0604000601,Upper Clarks River,438.68
03610200,"CLARKS RIVER AT ALMO, KY",36.691723,-88.27364,NAD83,413.35,1,2007-10-01 01:00:00,2024-04-03 00:00:00,1,1987-10-01 00:30:00,2024-04-03 00:00:00,0604000601,Upper Clarks River,438.68
03610545,"WEST FORK CLARKS RIVER NEAR BREWERS, KY",36.780056,-88.467545,NAD83,370.05,0,,,1,1988-12-12 14:00:00,1994-10-01 00:00:00,0604000602,Upper West Fork Clarks River,309.19
03611000,"OHIO RIVER AT PADUCAH, KY",37.0895,-88.59449,NAD83,285.46,1,2014-08-18 13:30:00,2024-04-03 00:00:00,0,,,0514020601,Mud Creek-Ohio River,260.41
03611260,"MASSAC CREEK NEAR PADUCAH, KY",37.041443,-88.710884,NAD83,344.78,1,2007-10-01 01:00:00,2024-04-03 00:00:00,1,1987-10-01 00:15:00,2024-04-03 00:00:00,0514020603,Massac Creek,197.06
03611500,"OHIO RIVER AT METROPOLIS, IL",37.147552,-88.74089,NAD83,276.18,0,,,1,2007-09-30 23:00:00,2010-06-19 22:45:00,0514020607,Redstone Creek-Ohio River,514.2
03611800,"BAYOU CREEK NEAR HEATH, KY",37.089775,-88.82978,NAD83,,0,,,1,1990-10-01 00:00:00,2010-09-30 23:45:00,0514020607,Redstone Creek-Ohio River,514.2
03611850,"BAYOU CREEK NEAR GRAHAMVILLE, KY",37.144775,-88.82728,NAD83,,0,,,1,1990-10-17 00:00:00,2010-10-07 10:00:00,0514020607,Redstone Creek-Ohio River,514.2
03611900,"LITTLE BAYOU CREEK NEAR GRAHAMVILLE, KY",37.1395,-88.79061,NAD83,,0,,,1,1993-10-01 00:15:00,2010-10-07 09:15:00,0514020607,Redstone Creek-Ohio River,514.2
03612600,"OHIO RIVER AT OLMSTED, IL",37.17922,-89.0584,NAD83,278.13,1,2013-03-02 00:00:00,2024-04-03 00:00:00,1,2013-03-02 00:00:00,2024-04-03 00:00:00,0514020607,Redstone Creek-Ohio River,514.2
03613000,"HUMPHREY CR AT LACENTER, KY",37.077553,-88.955894,NAD83,327.43,1,2013-09-03 00:00:00,2023-10-02 10:45:00,1,2013-09-03 00:00:00,2023-10-02 02:45:00,0514020606,Humphrey Creek,272.83
07023000,"MAYFIELD CREEK AT LOVELACEVILLE, KY",36.952557,-88.82506,NAD83,326.22,1,2023-08-24 07:30:00,2024-04-03 00:00:00,0,,,0801020102,Middle Mayfield Creek,408.09
07023700,"OBION CREEK NEAR ARLINGTON, KY",36.758392,-89.00368,NAD83,,1,2023-08-25 09:15:00,2024-04-03 00:00:00,0,,,0801020105,Obion Creek,830.27
07024000,"BAYOU DE CHIEN NEAR CLINTON, KY",36.62867,-88.96395,NAD83,307.39,1,2007-10-01 01:00:00,2024-04-03 00:00:00,1,1987-10-01 00:30:00,2024-04-03 00:00:00,0801020104,Bayou De Chien,555.74
371016082381001,"ELKHORN CREEK AT FREEDOM LANE AT JENKINS, KY",37.171074,-82.63613,NAD83,,1,2024-03-21 14:16:00,2024-04-03 01:00:00,0,,,0507020207,Russell Fork-Levisa Fork,449.8
371144082383401,"ELKHORN CREEK AT BARNHILL RD NR DUNHAM, KY",37.195717,-82.642876,NAD83,,1,2024-02-08 10:45:00,2024-04-03 01:00:00,0,,,0507020207,Russell Fork-Levisa Fork,449.8
373705086301002,ROUGH RIVER DAM LAKESIDE STATION 1A,37.62075,-86.49925,NAD83,,1,2021-03-28 00:00:00,2024-04-03 00:00:00,0,,,0511000403,Spring Fork-Rough River,546.95
373705086301003,ROUGH RIVER DAM LAKESIDE STATION 1B,37.61761,-86.502945,NAD83,,1,2021-04-03 00:00:00,2024-04-03 00:00:00,0,,,0511000403,Spring Fork-Rough River,546.95
373713086295603,ROUGH RIVER DAM TAILWATER STATION 2B,37.62011,-86.501274,NAD83,,1,2021-03-30 00:00:00,2024-04-03 00:00:00,0,,,0511000403,Spring Fork-Rough River,546.95
373713086295604,ROUGH RIVER DAM TAILWATER STATION 2C,37.6185,-86.50303,NAD83,,1,2021-04-03 00:00:00,2024-04-03 00:00:00,0,,,0511000403,Spring Fork-Rough River,546.95
